"","companyId","avgOverallRating","numReviews"
"328","company211406",NA,NA
"329","company03430",4.2,134
"330","company54106",3.8,15
"331","company188193",NA,NA
"332","company19164",3.8,58
"333","company06716",4,220
"334","company98131",4.1,126
"335","company22625",3.7,101
"336","company00208",3.3,17
"337","company15953",NA,NA
"338","company92720",3.9,61
"339","company18138",2.9,90
"340","company30577",NA,NA
"341","company11852",NA,NA
"342","company56736",NA,NA
"343","company01539",3.9,71
"344","company166933",NA,NA
"345","company06606",NA,NA
"346","company40901",NA,NA
"347","company84467",4.9,76
"348","company154061",NA,NA
"349","company00196",3.6,49
"350","company02613",3.8,196
"351","company80177",4,28
"352","company238770",NA,NA
"353","company04519",NA,NA
"354","company02789",NA,NA
"355","company02789",3.2,NA
"356","company00220",NA,NA
"357","company00220",3.6,2416
"358","company48430",NA,NA
"359","company01871",NA,NA
"360","company149715",NA,NA
"361","company20111",NA,NA
"362","company17974",NA,NA
"363","company03205",3.9,48
"364","company08150",3.6,47
"365","company24464",3.7,38
"366","company93957",3.5,534
"367","company00574",NA,NA
"368","company52392",NA,NA
"369","company160942",4.5,33
"370","company32930",2.9,118
"371","company32930",NA,NA
"372","company24717",NA,NA
"373","company13452",4.1,338
"374","company16902",NA,NA
"375","company20131",NA,NA
"376","company08915",3.3,81
"377","company41774",NA,NA
"378","company00312",3.9,102
"379","company04048",4.2,94
"380","company04048",NA,NA
"381","company00443",5,10
"382","company179957",3.5,11
"383","company00812",4.1,71
"384","company05543",NA,NA
"385","company96993",3.5,34
"386","company42133",NA,NA
"387","company33288",4.3,73
"388","company113306",NA,NA
"389","company00791",3.5,45
"390","company06255",4.3,40
"391","company06664",NA,NA
"392","company122925",NA,NA
"393","company146109",NA,NA
"394","company07001",NA,NA
"395","company199374",4,61
"396","company01190",3.8,99
"397","company31747",NA,NA
"398","company00392",3.5,63
"399","company79718",4.5,43
"400","company22691",3.3,99
"401","company184869",4.4,73
"402","company50948",NA,NA
"403","company48275",4,73
"404","company01741",3.7,22
"405","company39180",4.1,92
"406","company05584",3.9,58
"407","company05584",NA,NA
"408","company11752",3.8,256
"409","company01133",NA,NA
"410","company17677",4.3,106
"411","company17661",NA,NA
"412","company01495",NA,NA
"413","company50286",3.5,NA
"414","company70885",NA,NA
"415","company94014",NA,NA
"416","company00710",3.5,55
"417","company25916",NA,NA
"418","company126426",NA,NA
"419","company07142",NA,NA
"420","company04843",3.6,52
"421","company44075",NA,NA
"422","company05672",3.7,18
"423","company03461",NA,NA
"424","company18836",NA,NA
"425","company17823",NA,NA
"426","company27121",3.6,97
"427","company07812",NA,NA
"428","company128336",NA,NA
"429","company188971",NA,NA
"430","company07104",3.9,37
"431","company22143",2.8,38
"432","company09186",3.4,90
"433","company02061",3.3,55
"434","company09111",4,84
"435","company14613",3.6,90
"436","company00458",NA,NA
"437","company02373",3.2,NA
"438","company02373",NA,NA
"439","company12423",NA,NA
"440","company144823",NA,NA
"441","company05796",NA,NA
"442","company55873",4,71
"443","company68477",NA,NA
"444","company10253",3.7,229
"445","company00905",NA,NA
"446","company72421",NA,NA
"447","company17575",NA,NA
"448","company02845",3.7,88
"449","company01845",3.8,53
"450","company41044",NA,NA
"451","company30982",NA,NA
"452","company59387",4,57
"453","company04059",3.8,43
"454","company45118",NA,NA
"455","company18586",3.7,851
"456","company96459",NA,NA
"457","company164807",NA,NA
"458","company05250",3.7,91
"459","company112429",NA,NA
"460","company06463",NA,NA
"461","company07646",NA,NA
"462","company68846",NA,NA
"463","company17962",3.6,40
"464","company18198",NA,NA
"465","company95550",3.5,41
"466","company50280",NA,NA
"467","company30449",NA,NA
"468","company64290",3,63
"469","company32684",3.5,94
"470","company81170",NA,NA
"471","company81170",3,NA
"472","company20589",NA,NA
"473","company13638",NA,NA
"474","company09957",NA,NA
"475","company08158",3.8,60
"476","company166831",4,NA
"477","company03101",3.5,64
"478","company22413",NA,NA
"479","company68072",NA,NA
"480","company42478",NA,NA
"481","company75756",NA,NA
"482","company87074",3.1,16
"483","company10779",4.4,51
"484","company17668",NA,NA
"485","company08730",3.7,391
"486","company152476",NA,NA
"487","company04783",NA,NA
"488","company82882",5,10
"489","company05248",NA,NA
"490","company02295",3.1,232
"491","company159121",NA,NA
"492","company11309",4,91
"493","company07495",4.2,141
"494","company00545",3.2,52
"495","company76739",NA,NA
"496","company17464",2.8,79
"497","company06935",3.9,127
"498","company114275",3.4,149
"499","company152291",NA,NA
"500","company12573",3.6,48
"501","company156847",NA,NA
"502","company33083",4.6,32
"503","company140573",NA,NA
"504","company95375",NA,NA
"505","company116212",3,67
"506","company04756",3.8,50
"507","company74002",2.8,170
"508","company223283",NA,NA
"509","company136502",4,89
"510","company77034",3.3,131
"511","company26717",NA,NA
"512","company151402",3.9,101
"513","company33025",3.6,150
"514","company76874",NA,NA
"515","company03873",3.4,360
"516","company05451",3.6,27
"517","company21436",2.8,178
"518","company31826",NA,NA
"519","company52274",2,29
"520","company114293",3.5,67
"521","company152225",NA,NA
"522","company15996",3.7,102
"523","company216609",NA,NA
"524","company20452",NA,NA
"525","company07804",2.7,75
"526","company58335",NA,NA
"527","company01285",4,27
"528","company31512",3,212
"529","company00825",4.2,56
"530","company43128",NA,NA
"531","company27867",3.7,41
"532","company28310",3.6,49
"533","company02572",3.6,30
"534","company22181",NA,NA
"535","company16151",NA,NA
"536","company36884",NA,NA
"537","company08442",NA,NA
"538","company182752",NA,NA
"539","company126199",NA,NA
"540","company135255",NA,NA
"541","company36328",NA,NA
"542","company61131",NA,NA
"543","company05097",3.2,92
"544","company07084",2.9,183
"545","company56313",NA,NA
"546","company91160",4.4,36
"547","company21842",4.5,5
"548","company23633",3.4,67
"549","company06550",NA,NA
"550","company08287",NA,NA
"551","company152118",NA,NA
"552","company99820",3.9,68
"553","company184046",NA,NA
"554","company29081",3.2,166
"555","company02443",3.7,70
"556","company21873",NA,NA
"557","company70732",NA,NA
"558","company42758",NA,NA
"559","company104325",NA,NA
"560","company02419",3.8,24
"561","company04656",2,55
"562","company04656",NA,NA
"563","company05874",NA,NA
"564","company121492",NA,NA
"565","company06515",3,88
"566","company76427",3.7,23
"567","company06400",NA,NA
"568","company10471",4,36
"569","company13683",3.5,93
"570","company35605",NA,NA
"571","company147967",NA,NA
"572","company18148",NA,NA
"573","company19613",4,605
"574","company211236",NA,NA
"575","company11791",3.2,89
"576","company06904",4.4,95
"577","company54116",3.4,76
"578","company12351",3.3,27
"579","company06285",4.1,48
"580","company39850",NA,NA
"581","company71591",2.8,63
"582","company27197",NA,NA
"583","company52264",2.9,93
"584","company30039",4.3,62
"585","company91932",5,79
"586","company129082",NA,NA
"587","company03644",4,NA
"588","company17668",3.7,NA
"589","company27032",NA,NA
"590","company14598",NA,NA
"591","company20949",3.4,507
"592","company161193",3.4,50
"593","company33439",NA,NA
"594","company118130",NA,NA
"595","company15595",NA,NA
"596","company44182",NA,NA
"597","company25323",3.9,56
"598","company71050",NA,NA
"599","company55874",NA,NA
"600","company08129",3.4,99
"601","company05858",NA,NA
"602","company38321",3.7,296
"603","company15950",2.6,32
"604","company18686",3,126
"605","company172172",NA,NA
"606","company93251",4,47
"607","company109680",NA,NA
"608","company31149",NA,NA
"609","company104321",NA,NA
"610","company09829",3.6,20
"611","company02139",3.7,38
"612","company13065",NA,NA
"613","company02326",5,33
"614","company01666",3.9,78
"615","company47528",3.6,20
"616","company02120",NA,NA
"617","company30188",NA,NA
"618","company238791",3,90
"619","company128370",4.3,19
"620","company14643",3.9,56
"621","company05336",3.3,28
"622","company05372",4.1,12
"623","company141535",5,75
"624","company02039",3.8,100
"625","company117916",NA,NA
"626","company11194",3.6,35
"627","company19081",3.7,24
"628","company197398",3.3,58
"629","company26038",NA,NA
"630","company15651",NA,NA
"631","company69318",4,74
"632","company08478",NA,NA
"633","company110243",NA,NA
"634","company166338",NA,NA
"635","company17498",3.3,91
"636","company59679",NA,NA
"637","company52153",NA,NA
"638","company00131",NA,NA
"639","company01509",3.5,1151
"640","company42299",4,23
"641","company18731",NA,NA
"642","company190466",NA,NA
"643","company01361",NA,NA
"644","company15204",NA,NA
"645","company181697",NA,NA
"646","company01191",3.3,131
"647","company114595",NA,NA
"648","company06692",3.6,100
"649","company196907",3.8,41
"650","company01392",NA,NA
"651","company15216",NA,NA
"652","company74617",3.3,75
"653","company06982",3.3,8
"654","company06982",NA,NA
"655","company00400",3.9,38
"656","company57678",NA,NA
"657","company134901",3.6,69
"658","company33847",3.9,94
"659","company17702",3,94
"660","company22110",NA,NA
"661","company169879",3.8,13
"662","company09945",3.5,55
"663","company206142",NA,NA
"664","company234293",3.9,35
"665","company31667",NA,NA
"666","company14517",NA,NA
"667","company58171",3.6,88
"668","company79086",NA,NA
"669","company90576",4,99
"670","company217690",3.4,45
"671","company27225",NA,NA
"672","company08447",3,35
"673","company10613",NA,NA
"674","company170978",4.3,53
"675","company170978",NA,NA
"676","company80875",NA,NA
"677","company05076",4,49
"678","company91847",NA,NA
"679","company113612",NA,NA
"680","company00530",NA,NA
"681","company00530",3.4,NA
"682","company03779",3.5,59
"683","company75191",NA,NA
"684","company12452",2.6,60
"685","company164174",NA,NA
"686","company14916",3.4,40
"687","company14916",NA,NA
"688","company180947",NA,NA
"689","company11328",3.8,102
"690","company65069",NA,NA
"691","company48100",4,79
"692","company66178",NA,NA
"693","company14143",3.8,17
"694","company88818",NA,NA
"695","company60123",3,46
"696","company110794",3,77
"697","company31014",NA,NA
"698","company103702",4.5,94
"699","company00181",NA,NA
"700","company58612",NA,NA
"701","company18564",2.8,94
"702","company16544",3.3,179
"703","company02549",3,93
"704","company98419",NA,NA
"705","company144360",3,12
"706","company07701",4.2,3
"707","company44471",NA,NA
"708","company199587",4,38
"709","company00861",3.7,69
"710","company31564",NA,NA
"711","company00866",NA,NA
"712","company10784",NA,NA
"713","company06998",NA,NA
"714","company148342",NA,NA
"715","company105431",2.6,28
"716","company01925",3.5,10
"717","company64642",3.9,102
"718","company160346",2,75
"719","company17761",NA,NA
"720","company35194",4.2,88
"721","company17631",3.5,66
"722","company159790",3,77
"723","company17022",NA,NA
"724","company47480",3.2,98
"725","company87385",3.8,17
"726","company07337",3.8,36
"727","company160405",NA,NA
"728","company111488",NA,NA
"729","company01146",NA,NA
"730","company01957",3.9,8
"731","company111699",NA,NA
"732","company18835",NA,NA
"733","company41851",3.3,28
"734","company21900",NA,NA
"735","company39514",NA,NA
"736","company54197",NA,NA
"737","company42642",4.3,89
"738","company08369",4,31
"739","company48995",4,27
"740","company04800",3.6,3
"741","company04862",3.6,72
"742","company90413",NA,NA
"743","company115067",NA,NA
"744","company11771",NA,NA
"745","company107408",NA,NA
"746","company204087",NA,NA
"747","company63104",4.3,58
"748","company64555",NA,NA
"749","company16651",NA,NA
"750","company16651",3.5,15
"751","company18711",3.8,28
"752","company04696",3.5,53
"753","company137072",NA,NA
"754","company137072",4.5,NA
"755","company132136",NA,NA
"756","company09234",4.4,316
"757","company149588",NA,NA
"758","company00966",NA,NA
"759","company03484",3.5,127
"760","company13926",2.9,107
"761","company201313",NA,NA
"762","company11396",3.3,101
"763","company103345",3.2,151
"764","company23608",5,3
"765","company02491",4.2,89
"766","company41226",3,137
"767","company30211",3.9,27
"768","company05288",3.4,279
"769","company05751",4.8,99
"770","company83697",NA,NA
"771","company100914",5,69
"772","company23132",3.4,40
"773","company89271",4.6,105
"774","company22394",NA,NA
"775","company19131",3.9,49
"776","company04623",3.2,8
"777","company32025",NA,NA
"778","company14258",4.4,61
"779","company24902",NA,NA
"780","company140918",3.3,115
"781","company153968",NA,NA
"782","company12213",NA,NA
"783","company116927",2.6,55
"784","company86978",4,NA
"785","company04097",2.7,136
"786","company04097",NA,NA
"787","company16657",2.4,68
"788","company30467",3.5,348
"789","company109732",NA,NA
"790","company19091",4.2,55
"791","company04301",3.1,59
"792","company10405",NA,NA
"793","company242135",NA,NA
"794","company41273",NA,NA
"795","company33418",NA,NA
"796","company25043",NA,NA
"797","company151340",NA,NA
"798","company192868",NA,NA
"799","company64233",3.1,80
"800","company179141",NA,NA
"801","company26913",4,194
"802","company123211",NA,NA
"803","company25903",4,188
"804","company01817",NA,NA
"805","company110406",NA,NA
"806","company02273",3.7,90
"807","company00458",3.7,NA
"808","company27750",NA,NA
"809","company15478",3.2,216
"810","company34925",NA,NA
"811","company26130",NA,NA
"812","company03652",3.8,60
"813","company95890",3.8,41
"814","company33192",4,68
"815","company157788",NA,NA
"816","company02546",3.9,49
"817","company07442",NA,NA
"818","company32668",NA,NA
"819","company02603",3.2,244
"820","company152402",NA,NA
"821","company37569",NA,NA
"822","company05272",NA,NA
"823","company64561",4,48
"824","company159650",NA,NA
"825","company67549",NA,NA
"826","company02206",NA,NA
"827","company19455",5,2
"828","company30615",NA,NA
"829","company203868",NA,NA
"830","company54321",NA,NA
"831","company161853",NA,NA
"832","company09656",4.4,406
"833","company19372",3,87
"834","company197459",NA,NA
"835","company00554",3.9,54
"836","company130125",NA,NA
"837","company53051",NA,NA
"838","company14649",3.3,31
"839","company12072",NA,NA
"840","company113038",NA,NA
"841","company102548",3,53
"842","company53517",4,96
"843","company226171",NA,NA
"844","company66388",NA,NA
"845","company23496",3.7,98
"846","company05338",3.5,73
"847","company07970",5,65
"848","company220505",NA,NA
"849","company104265",NA,NA
"850","company10811",3.9,231
"851","company10300",NA,NA
"852","company90184",NA,NA
"853","company17676",2.9,51
"854","company131084",NA,NA
"855","company13544",3.7,166
"856","company01833",3.7,197
"857","company09319",4.1,278
"858","company36719",2.9,30
"859","company24909",3.9,577
"860","company06655",2.6,101
"861","company05460",NA,NA
"862","company165675",NA,NA
"863","company20535",NA,NA
"864","company94392",NA,NA
"865","company05389",4.1,84
"866","company24728",NA,NA
"867","company00588",3.6,NA
"868","company00588",NA,NA
"869","company17545",4,140
"870","company44514",NA,NA
"871","company126470",NA,NA
"872","company121614",NA,NA
"873","company33360",3.1,116
"874","company06175",3.7,13
"875","company54443",NA,NA
"876","company12872",NA,NA
"877","company01086",NA,NA
"878","company132337",NA,NA
"879","company67872",3.9,47
"880","company38435",3.6,425
"881","company51361",NA,NA
"882","company65435",4.2,72
"883","company224915",4.3,12
"884","company41920",NA,NA
"885","company145889",NA,NA
"886","company27244",4.1,152
"887","company07989",4,167
"888","company137232",NA,NA
"889","company216743",NA,NA
"890","company02476",NA,NA
"891","company05751",NA,NA
"892","company180444",NA,NA
"893","company75759",NA,NA
"894","company06223",3.7,156
"895","company04243",3.3,200
"896","company236606",3,35
"897","company23667",NA,NA
"898","company10641",NA,NA
"899","company60774",NA,NA
"900","company211269",NA,NA
"901","company10991",NA,NA
"902","company29999",2.8,10
"903","company69610",NA,NA
"904","company24173",3.6,79
"905","company73766",5,3
"906","company22416",NA,NA
"907","company161669",NA,NA
"908","company123927",NA,NA
"909","company219204",3.9,53
"910","company11213",NA,NA
"911","company14332",3,65
"912","company21461",4,132
"913","company12522",NA,NA
"914","company07522",4,136
"915","company17755",4.2,NA
"916","company14730",NA,NA
"917","company04056",NA,NA
"918","company54873",NA,NA
"919","company60883",4.3,17
"920","company01943",4,98
"921","company192195",NA,NA
"922","company17125",3.7,452
"923","company49246",NA,NA
"924","company168480",2.8,55
"925","company06848",3.6,44
"926","company236106",NA,NA
"927","company01022",4,45
"928","company10745",3.7,209
"929","company128219",NA,NA
"930","company04114",NA,NA
"931","company02009",3.5,30
"932","company86295",3.7,NA
"933","company86295",NA,NA
"934","company05464",3.6,23
"935","company100889",NA,NA
"936","company100889",4,NA
"937","company47960",NA,NA
"938","company11430",3.7,144
"939","company134675",4,16
"940","company15125",NA,NA
"941","company109348",NA,NA
"942","company17690",NA,NA
"943","company18562",2.5,100
"944","company01222",NA,NA
"945","company00986",NA,NA
"946","company07373",3.2,8
"947","company02176",3.1,943
"948","company44233",NA,NA
"949","company36908",3.3,73
"950","company03375",3.5,57
"951","company75734",4,61
"952","company10195",NA,NA
"953","company01877",3.9,14
"954","company141230",NA,NA
"955","company75570",NA,NA
"956","company10513",3.8,58
"957","company03916",3.7,NA
"958","company03916",NA,NA
"959","company165962",2.8,82
"960","company03560",NA,NA
"961","company57198",3.7,31
"962","company27992",NA,NA
"963","company27992",3.8,NA
"964","company40303",3.8,121
"965","company23204",NA,NA
"966","company22979",3.5,85
"967","company82747",3,67
"968","company116582",3.4,296
"969","company81485",NA,NA
"970","company08762",4,11
"971","company131939",NA,NA
"972","company04949",3.8,295
"973","company01279",3.7,61
"974","company89116",3.7,82
"975","company00189",NA,NA
"976","company30476",4,100
"977","company01994",4,1012
"978","company71343",NA,NA
"979","company01681",3.9,292
"980","company15313",NA,NA
"981","company87638",NA,NA
"982","company23505",3,60
"983","company00725",NA,NA
"984","company106301",NA,NA
"985","company16547",4,85
"986","company03703",NA,NA
"987","company29711",3.9,1146
"988","company63488",3,73
"989","company27225",4,NA
"990","company56207",NA,NA
"991","company18684",NA,NA
"992","company05875",3.9,37
"993","company07750",3.2,58
"994","company17637",4,42
"995","company35707",NA,NA
"996","company01218",3.4,NA
"997","company12727",3.2,39
"998","company239739",NA,NA
"999","company28893",NA,NA
"1000","company24259",NA,NA
"1001","company64909",3.9,74
"1002","company05969",NA,NA
"1003","company16351",NA,NA
"1004","company02228",NA,NA
"1005","company72239",1.7,99
"1006","company97478",3.8,193
"1007","company152490",NA,NA
"1008","company13622",2.8,204
"1009","company66030",NA,NA
"1010","company43139",NA,NA
"1011","company27489",4.1,115
"1012","company118946",3.1,98
"1013","company23438",2.6,58
"1014","company74483",NA,NA
"1015","company180191",NA,NA
"1016","company10031",4,48
"1017","company15886",3.1,35
"1018","company14711",3.5,3
"1019","company61825",4.1,110
"1020","company187725",3.8,75
"1021","company40592",4,88
"1022","company31741",NA,NA
"1023","company12182",3,97
"1024","company18125",NA,NA
"1025","company110357",NA,NA
"1026","company38317",3,84
"1027","company68955",4,106
"1028","company127017",NA,NA
"1029","company49799",NA,NA
"1030","company00563",3.8,25
"1031","company03456",3.6,NA
"1032","company03456",NA,NA
"1033","company89561",NA,NA
"1034","company219530",4,16
"1035","company191363",NA,NA
"1036","company80525",NA,NA
"1037","company73483",2.4,97
"1038","company27293",3.6,NA
"1039","company27293",NA,NA
"1040","company151075",NA,NA
"1041","company02824",4.3,55
"1042","company00327",4.1,32
"1043","company20578",NA,NA
"1044","company24169",4.2,152
"1045","company26036",5,15
"1046","company47021",3.2,27
"1047","company02785",NA,NA
"1048","company02785",3.4,NA
"1049","company211861",NA,NA
"1050","company13867",2.8,22
"1051","company22761",NA,NA
"1052","company01786",3,43
"1053","company01786",NA,NA
"1054","company18522",NA,NA
"1055","company236810",NA,NA
"1056","company86442",NA,NA
"1057","company19545",NA,NA
"1058","company239350",NA,NA
"1059","company162182",NA,NA
"1060","company85197",4.2,79
"1061","company01903",1.9,160
"1062","company22154",3.7,148
"1063","company09509",NA,NA
"1064","company02404",NA,NA
"1065","company136559",NA,NA
"1066","company43632",NA,NA
"1067","company23315",4,51
"1068","company76476",NA,NA
"1069","company10048",NA,NA
"1070","company92894",4,89
"1071","company179706",NA,NA
"1072","company00977",3.1,3576
"1073","company218086",3.3,40
"1074","company13203",3.8,23
"1075","company06949",4,94
"1076","company124244",3.7,30
"1077","company107161",NA,NA
"1078","company24804",2,60
"1079","company02133",NA,NA
"1080","company21288",NA,NA
"1081","company04055",NA,NA
"1082","company191720",3.8,7
"1083","company191720",NA,NA
"1084","company229256",4,76
