"","companyId","jobId","stateProvince","industry","city","normTitle","normTitleCategory","experienceRequired","estimatedSalary","supervisingJob","licenseRequiredJob","educationRequirements","sum_of_clicks","sum_localclick","days","clickspday","locclickspday"
"25","company00023","job0294236","FL",NA,"Maitland","application developer","techsoftware",11,82000,0,0,"Higher Education",1220,66,51,23.921568627451,1.29411764705882
"26","company00023","job0295160","NC",NA,"Kannapolis","unit manager","service",3,51400,1,1,"Higher Education",1166,64,86,13.5581395348837,0.744186046511628
"27","company00023","job0342672","OH",NA,"North Royalton","residential assistant","service",NA,28000,0,0,"High School",870,30,65,13.3846153846154,0.461538461538462
"28","company00023","job0516612","FL",NA,"Brandon","nursing assistant","mednurse",NA,27100,0,1,"High School",101,4,10,10.1,0.4
"29","company00023","job0990018","FL",NA,"Lakeland","nursing assistant","mednurse",NA,28100,0,1,"High School",13,3,1,13,3
"30","company00034","job0000035","NC",NA,"High Point","warehouse worker","warehouse",NA,22500,0,0,"High School",32,8,1,32,8
"31","company00044","job0110772","TX","HEALTH_CARE","San Antonio","unit clerk","medinfo",0.7,38200,0,1,"None",72,47,2,36,23.5
"32","company00044","job0110772","TX",NA,"San Antonio","unit clerk","medinfo",2,38200,0,1,"None",1346,615,17,79.1764705882353,36.1764705882353
"33","company00044","job0201894","TX","HEALTH_CARE","Arlington","registered nurse - rehabilitation","mednurse",NA,43100,0,1,"High School",45,9,5,9,1.8
"34","company00044","job0201894","TX",NA,"Arlington","registered nurse - rehabilitation","mednurse",NA,43100,0,1,"High School",148,10,12,12.3333333333333,0.833333333333333
"35","company00044","job0256954","TX",NA,"Houston","biller","admin",2,32300,0,0,"High School",244,103,8,30.5,12.875
"36","company00044","job0305696","MA","HEALTH_CARE","Dedham","registered nurse","mednurse",2,54900,1,1,"Higher Education",169,9,12,14.0833333333333,0.75
"37","company00044","job0312054","VT","HEALTH_CARE","Burlington","licensed practical nurse","mednurse",NA,43400,0,1,"None",776,13,57,13.6140350877193,0.228070175438596
"38","company00044","job0312054","VT",NA,"Burlington","licensed practical nurse","mednurse",NA,43400,0,1,"None",84,5,7,12,0.714285714285714
"39","company00044","job0334809","MN","HEALTH_CARE","Roseville","recruiter","hr",NA,49800,0,1,"None",6,3,1,6,3
"40","company00044","job0384675","WA","HEALTH_CARE","Spokane","triage nurse","mednurse",NA,58700,1,1,"Higher Education",25,3,1,25,3
"41","company00044","job0514061","IN",NA,"Indianapolis","nursing assistant","mednurse",6,21900,0,0,"None",122,37,3,40.6666666666667,12.3333333333333
"42","company00044","job0540907","MA",NA,"South Dennis","cook","food",0.5,24600,0,0,"None",230,3,11,20.9090909090909,0.272727272727273
"43","company00044","job0619503","PA",NA,"Langhorne","physical therapist","therapy",NA,72300,0,1,"Higher Education",4,1,1,4,1
"44","company00044","job0788984","NV",NA,"Las Vegas","physical therapist","therapy",2,66700,0,1,"Higher Education",195,3,12,16.25,0.25
"45","company00044","job0810623","MA",NA,"Needham","weekend receptionist","admin",0.5,24100,0,1,"High School",896,38,49,18.2857142857143,0.775510204081633
"46","company00044","job0824834","MA",NA,"Agawam","staffing coordinator","admin",NA,32200,0,0,"High School",136,8,5,27.2,1.6
"47","company00045","job0000047","IN",NA,"Michigan City","housekeeper","sanitation",NA,16100,0,0,"High School",13,8,1,13,8
"48","company00049","job0415396","TX",NA,"Round Rock","hospice aide","service",0,29900,0,1,"High School",137,2,6,22.8333333333333,0.333333333333333
"49","company00049","job0428080","PA",NA,"King of Prussia","nurse practitioner","mednurse",NA,57700,0,1,"None",449,36,29,15.4827586206897,1.24137931034483
"50","company00049","job0575286","AZ",NA,"Sedona","licensed practical nurse","mednurse",2,37500,0,1,"High School",293,30,17,17.2352941176471,1.76470588235294
"51","company00049","job0575286","AZ",NA,"Sedona","licensed practical nurse","mednurse",2,40800,0,1,"High School",957,66,65,14.7230769230769,1.01538461538462
"52","company00049","job0575286","AZ",NA,"Sedona",NA,NA,2,37500,0,1,"High School",213,13,14,15.2142857142857,0.928571428571429
"53","company00049","job0645878","CA",NA,"Colton","office coordinator","admin",NA,36900,1,1,"High School",1471,120,31,47.4516129032258,3.87096774193548
"54","company00049","job0649830","LA",NA,"Lafayette","director of clinical services","service",5,65500,1,1,"Higher Education",465,126,9,51.6666666666667,14
"55","company00052","job0323589","GA","RETAIL","Lithonia","retail manager","retail",NA,19900,0,0,"None",272,33,15,18.1333333333333,2.2
"56","company00052","job0323589","GA",NA,"Lithonia","retail manager","retail",NA,19900,0,0,"None",1345,157,84,16.0119047619048,1.86904761904762
"57","company00069","job0290235","CA","HEALTH_CARE","San Francisco","treasury analyst","accounting",3,78200,0,1,"Higher Education",251,39,7,35.8571428571429,5.57142857142857
"58","company00069","job0674847","CA",NA,"Bakersfield","senior assistant manager","management",NA,40700,0,1,"High School",305,122,12,25.4166666666667,10.1666666666667
"59","company00072","job0038717","MO",NA,"Springfield","technician","install",NA,32200,0,1,"None",45,3,3,15,1
"60","company00072","job0165337","AR","HEALTH_CARE","Rogers","registered nurse - medical / surgical","mednurse",NA,57400,0,1,"Higher Education",316,46,23,13.7391304347826,2
"61","company00072","job0165337","AR",NA,"Rogers","registered nurse - medical / surgical","mednurse",NA,57400,0,1,"Higher Education",810,75,55,14.7272727272727,1.36363636363636
"62","company00072","job0183836","AR",NA,"Waldron","registered nurse","mednurse",NA,39900,0,1,"None",19,0,1,19,0
"63","company00072","job0285515","AR","HEALTH_CARE","Rogers","registered nurse","mednurse",NA,55300,0,1,"Higher Education",6,1,1,6,1
"64","company00072","job0285515","AR",NA,"Rogers","registered nurse","mednurse",NA,55300,0,1,"Higher Education",38,10,2,19,5
"65","company00072","job0333421","OK","HEALTH_CARE","Oklahoma City","nursing assistant","mednurse",NA,30700,0,1,"High School",171,70,5,34.2,14
"66","company00072","job0855959","OK",NA,"Ada","respiratory therapist","medtech",2,58600,0,1,"Higher Education",622,14,42,14.8095238095238,0.333333333333333
"67","company00072","job1026216","AR","HEALTH_CARE","Bentonville","medical assistant","medtech",NA,27000,0,0,"High School",219,27,8,27.375,3.375
"68","company00075","job0046062","MA",NA,"Douglas",NA,NA,NA,38900,0,0,"None",322,16,21,15.3333333333333,0.761904761904762
"69","company00075","job0092217","CT",NA,"New Haven","operations associate","admin",5,64000,1,0,"Higher Education",97,22,2,48.5,11
"70","company00078","job0131145","NY","RETAIL","Brooklyn","receiver","warehouse",NA,23100,0,1,"None",151,16,13,11.6153846153846,1.23076923076923
"71","company00085","job0210064","VA","CONSULTING_AND_BUSINESS_SERVICES","McLean","business development manager","management",15,131600,1,0,"Higher Education",17,0,1,17,0
"72","company00085","job0210064","VA",NA,"McLean","business development manager","management",5,131600,1,0,"Higher Education",73,6,3,24.3333333333333,2
"73","company00085","job0210064","VA",NA,"McLean","business development manager","management",15,131600,1,0,"Higher Education",993,62,62,16.0161290322581,1
"74","company00085","job0257154","MD",NA,"Fort Meade","network analyst","techinfo",3,76700,0,1,"None",313,19,18,17.3888888888889,1.05555555555556
"75","company00085","job0359534","TX","CONSULTING_AND_BUSINESS_SERVICES","San Antonio","curriculum manager","management",4,71100,1,0,"Higher Education",759,150,42,18.0714285714286,3.57142857142857
"76","company00085","job0359534","TX",NA,"San Antonio","curriculum manager","management",4,71100,1,0,"Higher Education",390,151,19,20.5263157894737,7.94736842105263
"77","company00085","job0359534","TX",NA,"San Antonio",NA,NA,4,71100,1,0,"Higher Education",180,52,13,13.8461538461538,4
"78","company00085","job1032126","DC",NA,"Washington","intelligence analyst","techinfo",5,83500,0,0,"Higher Education",243,20,4,60.75,5
"79","company00090","job0318339","IL",NA,"Silvis","registered nurse","mednurse",NA,58900,1,1,"Higher Education",609,47,29,21,1.62068965517241
"80","company00091","job0261116","MI",NA,"Detroit","senior project manager","project",7,111700,1,1,"Higher Education",504,53,22,22.9090909090909,2.40909090909091
"81","company00095","job0036664","MO","RETAIL","Fenton","data collector","science",NA,22900,0,1,"None",490,29,31,15.8064516129032,0.935483870967742
"82","company00095","job0036664","MO",NA,"Fenton","data collector","science",NA,22900,0,1,"None",581,55,40,14.525,1.375
"83","company00095","job0112881","TN","RETAIL","Cordova","nutrition assistant","medtech",0,23700,0,1,"High School",521,69,31,16.8064516129032,2.2258064516129
"84","company00095","job0112881","TN",NA,"Cordova","nutrition assistant","medtech",0,23700,0,1,"High School",885,118,43,20.5813953488372,2.74418604651163
"85","company00095","job0133442","CA",NA,"Cupertino","retail merchandiser","retail",NA,20800,0,0,"None",81,5,6,13.5,0.833333333333333
"86","company00095","job0160311","SC","RETAIL","Myrtle Beach","reset merchandiser","manufacturing",NA,23100,0,1,"High School",406,113,26,15.6153846153846,4.34615384615385
"87","company00095","job0160311","SC",NA,"Myrtle Beach","reset merchandiser","manufacturing",NA,23100,0,1,"High School",108,50,9,12,5.55555555555556
"88","company00095","job0163660","AL","RETAIL","North Johns","merchandiser","retail",NA,23400,0,0,"None",276,2,24,11.5,0.0833333333333333
"89","company00095","job0163660","AL",NA,"North Johns","merchandiser","retail",NA,23400,0,0,"None",44,4,3,14.6666666666667,1.33333333333333
"90","company00095","job0195890","FL","RETAIL","Tallahassee","demonstrator","sales",0,22300,0,1,"High School",160,69,8,20,8.625
"91","company00095","job0233796","VT",NA,"Morristown","demonstrator","sales",NA,22000,0,0,"None",338,4,20,16.9,0.2
"92","company00095","job0264832","MI",NA,"Howell","reset merchandiser","manufacturing",NA,19400,0,1,"High School",118,6,4,29.5,1.5
"93","company00095","job0292033","MA",NA,"Lowell","retail merchandiser","retail",NA,22300,0,1,"High School",1281,152,84,15.25,1.80952380952381
"94","company00095","job0384312","IA",NA,"Sioux City","demonstrator","sales",NA,23500,0,1,"High School",549,48,44,12.4772727272727,1.09090909090909
"95","company00095","job0624130","GA",NA,"Tucker","reset merchandiser","manufacturing",NA,20400,0,1,"High School",96,13,4,24,3.25
"96","company00095","job0700810","IL","CONSULTING_AND_BUSINESS_SERVICES","Des Plaines","demonstrator","sales",NA,23800,0,1,"High School",253,26,17,14.8823529411765,1.52941176470588
"97","company00095","job0700810","IL","CONSULTING_AND_BUSINESS_SERVICES","Des Plaines",NA,NA,NA,23800,0,1,"High School",24,0,2,12,0
"98","company00095","job0700810","IL",NA,"Des Plaines","demonstrator","sales",NA,23800,0,1,"High School",559,71,41,13.6341463414634,1.73170731707317
"99","company00095","job0837358","NY",NA,"Beacon","retail merchandiser","retail",NA,18100,0,0,"High School",372,56,16,23.25,3.5
"100","company00095","job0982050","NM",NA,"Las Vegas","retail merchandiser","retail",NA,28800,0,0,"High School",547,168,28,19.5357142857143,6
"101","company00096","job0193170","VA",NA,"Reston","manager","management",3,66100,1,0,"Higher Education",38,7,3,12.6666666666667,2.33333333333333
"102","company00096","job0193933","CO",NA,"Englewood","research analyst","science",1.7,57600,0,0,"Higher Education",128,8,10,12.8,0.8
"103","company00096","job0193933","CO",NA,"Englewood","research analyst","science",5,57600,0,0,"Higher Education",307,41,19,16.1578947368421,2.15789473684211
"104","company00096","job0212668","VA",NA,"Hampton","entry level analyst","math",4,77700,0,0,"Higher Education",50,5,1,50,5
"105","company00096","job0212668","VA",NA,"Hampton","entry level analyst","math",12,77700,0,0,"Higher Education",1708,170,97,17.6082474226804,1.75257731958763
"106","company00096","job0371291","MD",NA,"Bethesda","linux engineer","techsoftware",2,103100,0,0,"Higher Education",1922,144,88,21.8409090909091,1.63636363636364
"107","company00096","job0371291","MD",NA,"Bethesda",NA,NA,2,103100,0,0,"Higher Education",182,16,12,15.1666666666667,1.33333333333333
"108","company00096","job0448707","KY",NA,NA,"monitor","protective",4,52100,0,0,"Higher Education",337,26,19,17.7368421052632,1.36842105263158
"109","company00096","job0506253","CA",NA,"San Diego","systems administrator","techhelp",2,83300,0,0,"None",16,16,1,16,16
"110","company00096","job0506253","CA",NA,"San Diego",NA,NA,2,83300,0,0,"None",121,6,9,13.4444444444444,0.666666666666667
"111","company00096","job0688193","DC",NA,"Washington","deputy manager","management",8,117400,1,1,"Higher Education",972,137,34,28.5882352941176,4.02941176470588
"112","company00096","job0699750","GA",NA,"Norcross","regional sales manager","sales",4,58700,0,0,"Higher Education",577,61,29,19.8965517241379,2.10344827586207
"113","company00096","job0699750","GA",NA,"Norcross",NA,NA,4,58700,0,0,"Higher Education",186,13,5,37.2,2.6
"114","company00096","job0766333","MD",NA,"Baltimore","software engineering manager","techsoftware",5,96300,1,0,"Higher Education",722,34,53,13.622641509434,0.641509433962264
"115","company00096","job0766333","MD",NA,"Baltimore",NA,NA,5,96300,1,0,"Higher Education",278,8,26,10.6923076923077,0.307692307692308
"116","company00096","job0994421","MD",NA,"Windsor Mill","senior business developer","sales",15,98200,0,0,"Higher Education",215,12,21,10.2380952380952,0.571428571428571
"117","company00099","job0685880","IL","HEALTH_CARE","Monmouth","technician","install",NA,36200,0,1,"None",881,38,45,19.5777777777778,0.844444444444444
"118","company00099","job0685880","IL","HEALTH_CARE","Monmouth",NA,NA,NA,36200,0,1,"None",25,11,2,12.5,5.5
"119","company00100","job0195039","MN","HEALTH_CARE","Bemidji","registered nurse - dialysis","mednurse",NA,69500,0,1,"None",255,39,16,15.9375,2.4375
"120","company00100","job0740523","ND","HEALTH_CARE",NA,"home health aide","mednurse",0.5,28100,0,1,"High School",842,124,33,25.5151515151515,3.75757575757576
"121","company00100","job0852554","ND","HEALTH_CARE","Fargo","sterile processing technician","medtech",NA,29400,0,1,"High School",399,115,23,17.3478260869565,5
"122","company00101","job0182749","GA","RESTAURANTS_TRAVEL_AND_LEISURE","Johns Creek","service assistant","food",NA,20700,0,0,"None",404,5,30,13.4666666666667,0.166666666666667
"123","company00101","job0182749","GA",NA,"Johns Creek","service assistant","food",NA,20700,0,0,"None",753,46,47,16.0212765957447,0.978723404255319
"124","company00101","job0780452","AL","RESTAURANTS_TRAVEL_AND_LEISURE","Gulf Shores",NA,NA,NA,20400,0,0,"None",451,29,32,14.09375,0.90625
"125","company00101","job0780452","AL",NA,"Gulf Shores",NA,NA,NA,20400,0,0,"None",941,131,64,14.703125,2.046875
"126","company00101","job1018808","IL",NA,"Berwyn",NA,NA,NA,20400,0,0,"None",253,32,11,23,2.90909090909091
"127","company00104","job0031095","IN","CONSULTING_AND_BUSINESS_SERVICES","Daleville","corporate recruiter","hr",NA,52900,0,0,"None",339,5,24,14.125,0.208333333333333
"128","company00104","job0169304","AZ",NA,"Phoenix","customer specialist","customer",NA,27900,0,1,"High School",265,102,8,33.125,12.75
"129","company00104","job0971720","CA",NA,"Irvine",NA,NA,5,45100,1,0,"Higher Education",150,12,10,15,1.2
"130","company00105","job0192699","VA",NA,"Arlington","general maintenance","install",1.3,32900,0,1,"High School",791,22,12,65.9166666666667,1.83333333333333
"131","company00105","job0192699","VA",NA,"Arlington","general maintenance","install",4,32900,0,1,"High School",1518,57,61,24.8852459016393,0.934426229508197
"132","company00105","job0303787","TX",NA,"Laredo","aircraft mechanic","aviation",3,62500,0,1,"High School",1350,66,100,13.5,0.66
"133","company00110","job0754794","CA","RESTAURANTS_TRAVEL_AND_LEISURE","Dana Point","beverage server","food",NA,19500,0,0,"None",1279,80,92,13.9021739130435,0.869565217391304
"134","company00110","job0754794","CA","RESTAURANTS_TRAVEL_AND_LEISURE","Dana Point","beverage server","food",NA,22900,0,0,"None",25,3,1,25,3
"135","company00111","job0821214","CA",NA,"San Jose","senior test technician","install",5,57100,0,0,"None",263,60,9,29.2222222222222,6.66666666666667
"136","company00111","job0864296","WI",NA,"Turtle Lake","manufacturing technician","install",NA,38000,0,1,"None",276,17,14,19.7142857142857,1.21428571428571
"137","company00113","job0460462","GA","TRANSPORT_AND_FREIGHT","Sugar Hill","truck driver","driver",NA,46500,0,1,"None",66,2,4,16.5,0.5
"138","company00113","job0460462","GA",NA,"Sugar Hill","truck driver","driver",NA,46500,0,1,"None",7,2,1,7,2
"139","company00120","job0162812","NC",NA,"Raleigh","meat clerk","food",0,19200,0,0,"High School",536,68,41,13.0731707317073,1.65853658536585
"140","company00120","job0285968","NC",NA,"Charlotte","lead clerk","admin",NA,22100,1,0,"High School",1128,47,80,14.1,0.5875
"141","company00120","job0674316","NC",NA,"Charlotte","deli associate","retail",0,18500,0,0,"High School",252,46,17,14.8235294117647,2.70588235294118
"142","company00120","job0674316","NC",NA,"Charlotte",NA,NA,0,18500,0,0,"High School",26,1,1,26,1
"143","company00120","job0833820","NC",NA,"Charlotte","meat clerk","food",0,19300,0,0,"High School",187,12,10,18.7,1.2
"144","company00120","job0919659","NC",NA,"High Point","clerk","admin",0,19200,0,0,"High School",574,124,30,19.1333333333333,4.13333333333333
"145","company00131","job0639034","FL","HUMAN_RESOURCES_AND_STAFFING","Tampa","structural engineer","engcivil",6,90600,1,1,"Higher Education",539,97,19,28.3684210526316,5.10526315789474
"146","company00131","job0842388","NY","HUMAN_RESOURCES_AND_STAFFING","New York","electrical engineer","engelectric",5,77900,0,0,"Higher Education",1191,87,71,16.7746478873239,1.22535211267606
"147","company00132","job0350750","AZ","GOVERNMENT",NA,NA,NA,NA,26400,0,0,"None",664,34,37,17.9459459459459,0.918918918918919
"148","company00132","job0350750","AZ",NA,NA,NA,NA,NA,26400,0,0,"None",881,43,63,13.984126984127,0.682539682539683
"149","company00132","job0459885","WA",NA,"Seattle",NA,NA,NA,35500,0,0,"High School",1063,290,61,17.4262295081967,4.75409836065574
"150","company00132","job0493939","MN","GOVERNMENT",NA,"development coordinator","admin",NA,39400,0,0,"None",123,7,9,13.6666666666667,0.777777777777778
"151","company00132","job0493939","MN","GOVERNMENT",NA,NA,NA,NA,39400,0,0,"None",96,6,6,16,1
"152","company00132","job0493939","MN",NA,NA,"development coordinator","admin",NA,39400,0,0,"None",1008,53,76,13.2631578947368,0.697368421052632
"153","company00132","job0493939","MN",NA,NA,NA,NA,NA,39400,0,0,"None",156,10,10,15.6,1
"154","company00132","job0701842","OH","GOVERNMENT",NA,"program coordinator","service",NA,49400,0,0,"None",844,53,51,16.5490196078431,1.03921568627451
"155","company00132","job0701842","OH",NA,NA,"program coordinator","service",NA,49400,0,0,"None",704,24,50,14.08,0.48
"156","company00136","job0738982","IL",NA,"Joliet","trainee manager","management",NA,34300,1,0,"Higher Education",795,214,33,24.0909090909091,6.48484848484848
"157","company00136","job0770957","MN",NA,"Duluth",NA,NA,NA,19600,0,0,"High School",490,198,31,15.8064516129032,6.38709677419355
"158","company00143","job0079045","MD",NA,"Frederick","teller","retail",0.2,25200,0,0,"High School",140,47,6,23.3333333333333,7.83333333333333
"159","company00143","job0079045","MD",NA,"Frederick","teller","retail",0.5,25200,0,0,"High School",953,343,30,31.7666666666667,11.4333333333333
"160","company00143","job0259782","VA",NA,"Vienna","senior software engineer","techsoftware",10,139700,0,0,"Higher Education",272,9,13,20.9230769230769,0.692307692307692
"161","company00143","job0578725","CA","BANKS_AND_FINANCIAL_SERVICES","San Francisco","software engineer","techsoftware",2,110900,0,0,"Higher Education",316,76,9,35.1111111111111,8.44444444444444
"162","company00143","job0578725","CA",NA,"San Francisco","software engineer","techsoftware",2,110900,0,0,"Higher Education",907,100,61,14.8688524590164,1.63934426229508
"163","company00143","job0857479","VA",NA,"McLean","associate","uncategorized",4,85900,0,0,"Higher Education",494,52,30,16.4666666666667,1.73333333333333
"164","company00143","job0857479","VA",NA,"McLean",NA,NA,4,85900,0,0,"Higher Education",387,36,12,32.25,3
"165","company00159","job0740348","FL","HEALTH_CARE","Orlando","registered nurse - bone marrow transplant","mednurse",NA,60700,0,1,"Higher Education",102,15,5,20.4,3
"166","company00159","job0740348","FL",NA,"Orlando","registered nurse - bone marrow transplant","mednurse",NA,60700,0,1,"Higher Education",499,41,29,17.2068965517241,1.41379310344828
"167","company00162","job0993817","CA",NA,"Los Angeles","senior mechanical designer","engmech",2,84000,0,0,"Higher Education",705,66,22,32.0454545454545,3
"168","company00169","job0642228","PA",NA,"Bethlehem","senior developer","techsoftware",NA,82100,0,0,"Higher Education",735,85,25,29.4,3.4
"169","company00175","job1024744","SC",NA,"Spartanburg","assistant","uncategorized",NA,22300,0,0,"None",331,65,9,36.7777777777778,7.22222222222222
"170","company00178","job0007264","WA",NA,"Richland","teller","retail",0.5,24600,0,0,"High School",15,7,2,7.5,3.5
"171","company00178","job0204494","IL",NA,"Downers Grove","loan specialist","finance",1,50800,0,0,"Higher Education",429,8,5,85.8,1.6
"172","company00178","job0204494","IL",NA,"Downers Grove","loan specialist","finance",3,50800,0,0,"Higher Education",484,38,20,24.2,1.9
"173","company00178","job0209290","FL",NA,"Tampa","associate","uncategorized",1,77700,1,0,"Higher Education",652,83,3,217.333333333333,27.6666666666667
"174","company00178","job0209290","FL",NA,"Tampa","associate","uncategorized",3,77700,1,0,"Higher Education",2108,380,27,78.0740740740741,14.0740740740741
"175","company00178","job0232993","NY",NA,"Oswego","personal banker","customer",0.5,26200,0,0,"High School",780,380,31,25.1612903225806,12.258064516129
"176","company00178","job0320883","OH",NA,"Westerville","senior operations manager","management",NA,30900,0,0,"None",593,40,11,53.9090909090909,3.63636363636364
"177","company00178","job0489569","NY",NA,"New York",NA,NA,2,107100,1,1,"Higher Education",722,122,5,144.4,24.4
"178","company00178","job0489580","TX",NA,"Austin","mortgage banker","sales",3,60200,0,0,"Higher Education",173,40,9,19.2222222222222,4.44444444444444
"179","company00178","job0489580","TX",NA,"Austin",NA,NA,3,60200,0,0,"Higher Education",177,36,11,16.0909090909091,3.27272727272727
"180","company00178","job0489673","IL",NA,"Naperville","financial advisor","sales",5,110800,0,1,"Higher Education",228,37,13,17.5384615384615,2.84615384615385
"181","company00178","job0491436","NY",NA,"New York","software engineering manager","techsoftware",10,142800,1,0,"Higher Education",87,6,2,43.5,3
"182","company00178","job0536177","NJ",NA,"Jersey City","front end developer","techsoftware",NA,134700,0,0,"Higher Education",154,13,6,25.6666666666667,2.16666666666667
"183","company00181","job0012998","AZ",NA,"Scottsdale",NA,NA,NA,87500,0,0,"None",79,8,5,15.8,1.6
"184","company00181","job0029776","IN",NA,"Greenwood","cashier/clerk","retail",NA,26100,0,0,"None",3,0,1,3,0
"185","company00181","job0029821","MA",NA,"Salem","cashier/clerk","retail",NA,27100,0,0,"None",279,74,22,12.6818181818182,3.36363636363636
"186","company00181","job0029829","CT",NA,"Hartford","pharmacy technician","pharmacy",NA,30900,0,0,"None",12,0,1,12,0
"187","company00181","job0044151","MI",NA,"Ferndale","shift manager","management",NA,25700,1,0,"None",20,2,1,20,2
"188","company00181","job0054347","VA",NA,"Virginia Beach","manager in training","management",1,44500,1,0,"None",413,237,18,22.9444444444444,13.1666666666667
"189","company00181","job0114521","CA",NA,"Los Angeles","operations manager","management",NA,40800,1,0,"None",33,10,2,16.5,5
"190","company00181","job0114526","MA",NA,"West Roxbury","operations manager","management",NA,36800,1,0,"None",275,12,21,13.0952380952381,0.571428571428571
"191","company00181","job0114547","AL",NA,"Huntsville","shift manager","management",NA,25400,1,0,"None",22,1,1,22,1
"192","company00181","job0166632","NY",NA,"Tarrytown","beauty consultant","sales",NA,53700,0,0,"None",1278,44,95,13.4526315789474,0.463157894736842
"193","company00181","job0166682","AZ",NA,"Sun City","trainee manager","management",NA,26200,1,0,"None",1098,27,91,12.0659340659341,0.296703296703297
"194","company00181","job0166685","CA",NA,"Grass Valley","trainee manager","management",NA,26300,1,0,"None",1333,73,95,14.0315789473684,0.768421052631579
"195","company00181","job0195219","FL",NA,"Seminole","cashier/clerk","retail",NA,26600,0,0,"None",23,3,2,11.5,1.5
"196","company00181","job0195242","IN",NA,"Newburgh","cashier/clerk","retail",NA,26600,0,0,"None",1784,371,100,17.84,3.71
"197","company00181","job0195328","MA",NA,"Holden","pharmacy technician","pharmacy",NA,31600,0,1,"None",1382,207,97,14.2474226804124,2.1340206185567
"198","company00181","job0222014","UNKNOWN",NA,"Work at Home","medical sales executive","sales",NA,79500,0,0,"None",6179,45,30,205.966666666667,1.5
"199","company00181","job0307629","NC",NA,"Havelock","cashier/clerk","retail",16,18000,0,0,"High School",68,19,1,68,19
"200","company00181","job0307645","GA",NA,"Cornelia","cashier/clerk","retail",16,18000,0,0,"High School",54,15,1,54,15
"201","company00181","job0307683","FL",NA,"Jonesville","cashier/clerk","retail",16,18000,0,0,"High School",24,2,1,24,2
"202","company00181","job0307721","CA",NA,"Red Bluff","cashier/clerk","retail",16,18000,0,0,"High School",27,3,1,27,3
"203","company00181","job0307774","TN",NA,"Nashville","cashier/clerk","retail",16,17900,0,0,"High School",11,0,1,11,0
"204","company00181","job0307832","OH",NA,"Fairfield","pharmacy technician","pharmacy",16,26100,0,1,"High School",21,2,1,21,2
